Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,18,70,66,63,0.2,1
2,19,46,89,39,5.9,1
3,17,64,99,38,0.7,1
4,25,88,63,92,1.6,1
5,21,35,55,89,6.5,1
6,22,62,78,48,2.2,1
7,18,80,79,68,3.0,1
8,17,50,83,45,5.8,1
9,25,81,59,43,2.3,1
10,17,72,45,64,5.3,1
11,18,93,81,55,3.0,1
12,22,69,44,56,2.8,1
13,25,55,94,83,5.8,1
14,21,63,76,42,7.9,1
15,20,75,86,69,6.6,1
16,18,75,62,98,1.7,1
17,23,93,53,68,7.1,1
18,19,68,89,86,2.0,1
19,22,52,100,98,1.8,1
20,18,49,54,55,6.0,1
21,23,84,83,94,4.8,1
22,25,36,49,69,2.0,1
23,22,90,55,93,0.9,1
24,17,68,99,57,7.6,1
25,25,73,99,60,7.3,1
26,19,55,35,76,3.0,1
27,24,81,74,65,0.2,1
28,17,45,45,97,1.9,1
29,18,51,51,95,7.8,1
30,25,89,62,60,1.3,1
31,21,82,91,92,3.2,1
32,18,43,78,37,2.0,1
33,25,63,35,44,1.8,0
34,17,39,77,44,1.8,1
35,25,97,62,51,1.9,1
36,24,95,87,59,1.9,1
37,18,90,80,89,0.8,1
38,23,41,47,42,3.7,0
39,23,48,66,59,5.8,1
40,20,52,89,58,4.3,1
41,21,44,91,47,3.7,1
42,17,36,46,65,5.2,0
43,19,96,62,86,3.3,1
44,17,35,84,68,1.3,1
45,24,97,54,59,2.3,1
46,21,42,42,75,1.7,1
47,17,96,99,55,0.4,1
48,17,45,58,43,7.7,0
49,18,65,86,50,5.4,1
50,20,40,45,88,4.6,1
51,25,68,61,75,2.5,1
52,20,51,73,93,2.1,1
53,22,44,36,93,7.4,1
54,18,62,99,68,0.6,1
55,19,43,66,82,7.5,1
56,21,73,36,73,1.3,1
57,18,52,68,49,7.5,1
58,18,54,69,71,5.9,1
59,20,61,68,99,5.7,1
60,24,41,46,89,2.0,1
61,21,77,51,68,0.4,1
62,19,89,36,49,5.9,1
63,18,54,39,82,7.6,1
64,25,51,40,74,1.2,1
65,22,40,80,61,7.2,1
66,20,80,87,54,5.3,1
67,20,57,87,38,6.9,1
68,19,77,87,66,5.9,1
69,21,48,83,39,1.3,1
70,24,93,79,74,1.8,1
71,20,59,86,77,1.8,1
72,21,70,79,100,6.9,1
73,23,77,38,49,5.4,1
74,21,68,39,48,1.4,1
75,23,75,90,100,2.8,1
76,18,59,67,40,3.1,1
77,23,60,81,90,0.0,1
78,18,77,75,50,7.6,1
79,21,87,76,86,4.1,1
80,21,59,88,83,4.4,1
81,19,73,86,35,4.9,1
82,21,90,76,94,2.3,1
83,24,62,100,95,3.5,1
84,19,71,100,77,5.3,1
85,18,65,74,63,6.5,1
86,20,40,66,95,1.2,1
87,18,59,84,98,3.6,1
88,23,35,48,89,2.0,1
89,20,94,41,66,1.4,1
90,18,94,75,91,3.7,1
91,25,92,55,95,3.4,1
